纬线	形状	圆形；每一条纬线自成圆圈；只有赤道（最大的纬线圈）能平分地球
季风水田农业	生产习惯因素	东亚、东南亚和南亚水稻种植历史悠久，种植水稻的传统经验丰富


季风水田农业	食物偏好因素	稻米是当地人们喜爱的食物


农业生产	农业技术因素	生物技术、耕作技术、灌溉技术、机械化水平、农业科技水平等，如通过培育良种扩大农业区域的范围，利用玻璃温室和塑料大棚生产反季节蔬菜等


环境人口容量	生活消费水平因素	负相关。消费水平越高，环境人口容量越小；消费水平越低，环境人口容量越大


交通运输线	地质因素	注意避开断层地带和滑坡、泥石流多发区，特别是开凿隧道时应尽量避开断层带，从背斜部位穿越


交通运输线	水文因素	线路应避开沼泽地，尽量避免跨越河流，以减少桥涵总长度


商品谷物农业	机械化水平因素	机械化水平高为大规模经营创造了条件，提高了劳动生产率


农业	气候条件	湿润、半湿润季风气候，冬季寒冷，夏季温暖，雨热同季。
热量和水分条件基本满足一年一熟作物的需求，但易受低温冷害影响


农业	地形条件	包括高原、平原和山地三类相对完整的地形单元为农业多种经营提供了条件


农业	土壤条件	黑土、黑钙土广泛分布，土层深厚，有机质含量高，有利于农业生产


农业	工业条件	是重要工业基地，为农业发展提供机械设备、化肥等生产资料；工业对原料的需求，有利于农业产业化的发展


农业	交通条件	便利的交通，对外联系方便，利于发展外向型农业


农业	人口条件	开发晚，人口密度低，人均耕地比较多，农业经营规模大；相对较好的生态环境和资源条件有利于绿色农业和大农业的发展


天峰岭	经度范围	东经113.5-113.9


天峰岭	纬度范围	北纬39.4-39.7


斯堪的纳维亚山脉	地质特征成因	冰川侵蚀


默拉皮火山	地质特征类型	火山


落基山脉	典型地貌	冰川地貌


俄罗斯	人口数量	人口1.4亿(2010年)，由130多个 民族构成，其中俄罗斯族人口最多


贝加尔湖	宽度	27～79.5公里


贝加尔湖	蓄水量	23.6万亿立方米（2015年）


阿尔卑斯山脉	走向	东西走向


中国北部地区	降水量	年降水量为400—800毫米


立春	太阳位置	太阳黄经为315°


中国	地理优势	我国纬度适中，光热条件好，南北气候差异大，为我国发展多种农业经济提供了有利条件


俄罗斯	人口特征	欧洲部分集中了全国3/4的人口


死海	盐度	300~322克/升


鲁尔工业区	衰落原因	①生产结构单一（集中在煤炭、钢铁、机械、化工、电力等传统工业部门）。
②煤炭的能源地位下降（世界能源结构的变化）。
③世界性钢铁过剩（产钢和出口钢的国家增多、经济危机、钢产品的替代品增多）。
④新技术革命的冲击（新的技术革命改变了传统的生产方式，鲁尔区原有的生产组织难以适应市场的快速变化）。
⑤重化工业集聚造成用地紧张、环境污染、交通拥挤等问题。


黄河上游和黄河中游	分界点	内蒙古自治区的河口


甘薯	易受病虫害	病毒病|叶斑病|疮痂病|红薯瘟|红薯蔓割病|红薯软腐病


甘薯	我国主要分布地区	主要分布于中国北京、山西、山东、河南、天津、河北、东三省、内蒙古、云南、四川、湖北、甘肃、安徽、福建、陕西、湖南、广东、江苏、江西、海南等地


稗子	全球主要分布地区	亚洲


稀树草原	热量喜好	炎热


大豆	光照喜好	喜光


荒漠草原	干湿喜好	干旱


甘蔗	土壤要求	土壤肥沃


小麦	强关联自然带	温带


玉米	生长期	夏季


红蘑菇	地形要求	原始森林


油莱	播种期	秋季


冬小麦	丰收期	翌年5月底至6月中下旬


冬小麦	生长期长短	生育期较长


季雨林	强关联气候类型	热带季风气候


棉花	劳动力需求	有廉价的土地和劳动力资源


洋葱	新鲜作物保存时长	耐贮藏


中国北部地区	资源特征	水资源不足


俄罗斯	自然资源特征	丰富


暖流	纬度流向	由较低纬度海区流向较高纬度海区


日本	气候成因	是岛国，周边都是海洋，受海洋影响较大


