
slabel,plabel,v
太阳大气层,内容,太阳大气层的结构由外向里：日冕层—色球层—光球层
可持续发展原则,内容,中国禁止使用一次性餐具
农业生产模式,内容,具有中国特色的持续发展的农业生产模式是生态农业
世俗观念,内容,"“多子多福”的世俗观念,影响了我国人口的发展"
观念,内容,"一般来说,城市规模越大,服务种类越多,服务范围越广"
太阳辐射,内容,是一种电磁波
农业生产,内容,"我国糖料作物的“南蔗北菜”的分布,体现了农业生产的地域性"
农业,内容,"我国糖料作物的“南蔗北菜”的分布,体现了农业生产的地域性"
城市,内容,石家庄、蚌埠、宝鸡、株洲可以称为“火车拉来的城市”。
国际金融中心,内容,美国、法国、德国都有国际金融中心
国际贸易,内容,证券的交易
国际贸易,内容,图书信息的交易
国际贸易,内容,商品的交易
可持续发展思想,内容,天人合一
可持续发展,内容,天人合一
城市带,内容,"美国三大城市带中,位于太平洋沿岸的城市带是：圣弗朗西斯科――洛杉矶-圣迭戈"
人与环境的对立性,内容,环境的发展不以人的意志为转移
循环经济,内容,珠江三角洲的基塘农业
发展条件,内容,"美国中央大平原和阿根廷潘帕斯草原共同的发展条件是地广人稀,气候温和。"
金融中心,内容,世界著名的三大金融中心是纽约、伦敦、苏黎世。
海洋资源,内容,世界主要渔业国都分布在温带地区
航海线,内容,"中东石油运至西欧,最近的航海线是地中海——苏伊士运河航线。"
商品农业,内容,塑料大棚中的蔬菜、花卉种植
城市职能,内容,"从城市职能划分来看,美国首都华盛顿是作为政治中心而新建的城市,我国湖南省株洲则是在铁路（交通）枢纽上发展起来的城市。"
可持续发展,内容,"“竭泽而渔,而明年无鱼。焚薮而田,而明年无兽”,主要违背了可持续发展的持续性原则。"
美国,内容,美国提出“信息高速公路”。
可持续发展,内容,"人与环境和谐相处,即“天人合一”"
城市化水平,内容,衡量城市化水平的主要指标是城市人口比重。
人口增多,内容,"上海市总人口不断增长,近期可能导致的主要问题是城市用地压力增大"
台风,内容,台风对浙江发展沿海养殖影响最大的自然灾害
地球,内容,当地球位于公转轨道上的远日点时，北半球正值夏季
太阳系,内容,太阳系中的小行星带位于火星与木星的轨道之间。
人口迁移,内容,第二次世界大战以后国际人口迁移的主要形式是劳务输出
地球,内容,"假设：如果地球和水星的位置互换一下，地表温度太高,原子无法结合起来形成生物大分子,也就不会有生命物质"
因地制宜,内容,"“深处种菱浅种稻,不深不浅种荷花”反映了农业生产因地制宜的思想。"
放射式道路交通,内容,"在以放射式道路交通为主的城市中心区外围,建几条环行道路可以增加城市交通量。"
工业部门,内容,纺织工业；’船工业 ；微电子工业；钢铁工业
地球,内容,地球上温度适宜的主要原因是太阳和地球的距离适中。
水循环,内容,水循环的主要动力是太阳辐射能。
环境人口容量,内容,影响环境人口容量的首要因素是资源丰富程度
工业企业,内容,资源密集型；劳动力密集型；资金密集型；技术密集型。
交通运输线,内容,经济发展对交通运输线的选择起决定性的作用。
国道,内容,应该考虑尽量缩短线路长度、以节省运营时间。
国际贸易,内容,发达国家和发展中国家在国际贸易中，其贸易品种和数量的差异主要表现在发达国家主要出口工业制成品。
商业街,内容,以交通最优为原则的商业街应该建在市区环路边缘或市区边缘的高速公路沿线。
城市,内容,世界上第一批城市多数诞生在河流的中下游平原上，如印度河流域和尼罗河流域。
世界著名四大渔场,内容,北海道渔场、北海渔场、纽芬兰渔场、秘鲁渔场。
大气逆辐射,内容,"深秋至第二年早春,霜冻多出现在晴朗的夜晚，是因为晴天,大气逆辐射减弱。"
工业联系,内容,生产工序上的联系；信息的联系；非生产上的地理空间联系。
工厂,内容,"从投入——产出的工业联系看,应集聚的工厂是钢铁厂——机械厂 。"
运输方式,内容,"航空运输罐为快捷,但投资大,技术要求高。"
城市,内容,"乡村和城市的联系是乡村是城市的母体,城市一般由乡村发展而来。"
城市化,内容,"乡村和城市的联系是乡村是城市的母体,城市一般由乡村发展而来。"
商业网点的组织形式,内容,偏远的山区和牧区的商业网点的布局模式宜采用流动形式。
自然灾害,内容,"在我国的自然灾害中,最为常见并且危害范围较广的是干旱、洪涝。"
“硅谷”高技术工业区,内容,硅谷”是高技术工业发展的先驱和典范；“硅谷”是以微电子工业为主导。
工业分散现象,内容,“硅谷”的企业在东南亚设分厂受廉价劳动力因素驱动。
土壤条件,内容,"从土壤条件来分析,农业发达的地区多在肥沃的冲积平原。"
季风水田农业,内容,中国是世界最大的稻米生产国
水稻种植业,内容,中国是世界最大的稻米生产国
矿产资源,内容,伯明翰、攀枝花、大庆是因为矿产资源开发而吸引人口大量迁入的城市。
城市,内容,"城市等级越高,职能越多,服务范围越大。"
印度低压,内容,印度低压是7月份亚洲大陆上的气压中心
地球自转,内容,南半球河流右岸多沙滩
工业区位选择,内容,"运费构成中对工业区位选择影响最小的是原材料重量轻,产品价值高。"
地球,内容,当地球运行到近日点附近时，东亚以晴朗的天气为主。
地球,内容,其特殊性主要表现在是太阳系中唯一有生命的行星。
太阳活动,内容,无线电短波突然衰减；指南针不能正确指示方向；最近几年全球各地气候异常。
太阳活动,内容,无线电短波突然衰减B；指南针不能正确指示方向；最近几年全球各地气候异常。
地球自转,内容,日月星辰东升西落；.昼夜交替现象；东京地方时比北京早。
气旋,内容,"我国东部地区夏季盛行东南风,是因为我国处在反气旋高压的西侧。"
水循环,内容,"目前人类对水循环的影响主要表现在修建水库,跨流域调水,改变局部地面径流。"
“厄尔尼诺”现象,内容,"“厄尔尼诺”现象对气候的影响主要是扰乱了常规海流模式,使气候反常。"
地面辐射,内容,同一经纬度“高处不胜寒”的原因是接收的地面辐射少。
对流层,内容,"对流层大气中的水汽和二氧化碳等,对太阳辐射削弱作用表现在吸收波长较长的红外线。"
地球内部,内容,"地球内部划分为地壳、地幔和地核三个主要圈层,其划分依据是地震波传播速度的突然变化。"
全球气候变暖的后果,内容,"海平面上升；现在温带的耕作业发达地区将会退化成草原；干旱地区将会变得更加干旱,亚寒带某些地区因气温升高将会适宜温带作物的生长。"
长江,内容,长江最主要的补给形式是大气降水。
沉积岩,内容,沉积岩通过变质作用转化为变质岩。
水资源,内容,"目前,人类比较容易利用的淡水资源主要是河流水。"
淡水资源,内容,"目前,人类比较容易利用的淡水资源主要是河流水。"
河流堆积地貌,内容,河口三角洲、河漫滩平原
牧童经济,内容,土地荒漠化；大气污染；温室效应。
人口爆炸,内容,人口增长进入“人口爆炸”的时代是二战以后。
冷锋,内容,与我国北方夏季暴雨有关的天气系统是冷锋。
臭氧,内容,"臭氧含量的减少,对地球的影响主要是危害人体健康以及农林牧渔业生产。"
地质构造,内容,背斜和地堑
地震,内容,"在山区,地震可能引发的次生灾害是滑坡。"
人口合理容量,内容,"消费水平的高低,对人口合理容量有较大影响"
高层大气水平运动,内容,需要考虑水平气压梯度力、地转偏向力和风力，但是不需要考虑地面摩擦力。
板块构造学说,内容,"板块构造学说认为,太平洋西部边缘深海沟的形成是由于大洋板块与大陆板块碰撞形成的。"
日本暖流,内容,日本暖流对我国台湾东部沿海的影响是增加降水量。
土壤,内容,"适宜作物生长的理想土壤的组成物质的体积比例是矿物质45%,有机质5%,空气20%～30%。"
气候资源,内容,农业生产合理而充分利用气候资源的措施有：不同作物的间作、套种；用塑料大棚、温室。
地质构造,内容,褶皱和断层、背斜和向斜。
大气保温作用,内容,大气保温作用的有关概念，按发生的先后顺序排列正确的是：太阳辐射-大气削弱-地面吸收-地面辐射-大气逆辐射。
沉积岩,内容,砾岩、石灰岩、页岩
平流层,内容,人类活动使大气遭到破坏而形成的臭氧空洞，主要分布于平流层。
干湿度地带分异分布规律,内容,澳大利亚自东向西呈现出森林、草原、荒漠带的半环状分布
地球上水圈,内容,地球上水圈的主体是海洋水。
淡水,内容,冰川、地下水、湖泊水、河水。
水资源,内容,冰川、地下水、湖泊水、河水。
城市区位,内容,不同的城市往往具有城市发展的不同区位。
太阳活动,内容,黑子和耀斑
地球自转,内容,昼夜更替；长江入海的河道逐渐向南迁移。
太阳高度,内容,昼半球各地太阳高度都大于0度。
陆地自然资源,内容,华北平原夏季多雨，冬季少雨。说明自然资源在特定的时空范围内是有限的；陆地自然资源的利用潜力是无限的。
海洋资源,内容,利用的海洋空间资源包括海上、海中、海底三部分；海洋渔业资源主要集中在大陆架海域。
极昼现象,内容,极昼现象从北极点扩大到北极圈的时期是春分到夏至。
地球外部圈层,内容,大气圈、水圈和生物圈之间是相互联系、相互制约的。
大气运动,内容,大气运动最基本的形式是：热力环流。
气压带,内容,极地高气压带；赤道低压带；极地东风带；信风带。
沉积岩,内容,下面的沉积岩，颗粒由大到小可以排列为一组：砾岩、砂岩、页岩
宇宙,内容,宇宙中最基本的天体是恒星、星云。
大气削弱作用,内容,散射；反射；吸收。
地表形态,内容,新疆的风蚀城堡；塔里木盆地的沙丘；泰山的块状山地；云贵高原的喀斯特地形。
气候类型,内容,地中海气候；热带草原气候；温带海洋气候；温带季风气候；热带季风气候；
月球表面的环形山,内容,月球表面的环形山主要是陨石坑。
板块构造学说,内容,板块构造学说认为，全球岩石圈分为六大板块。
沉积岩,内容,石灰岩、砾岩、页岩
物质循环,内容,水循环；大气循环；地质循环。
沉积岩,内容,由细粒黏土固结而成的是页岩
太阳日,内容,"太阳日和恒星日相比,其区别在于恒星日比太阳日长3分56秒。"
国际日期变更线,内容,"自西向东穿过国际日期变更线,区时不变,日期减一天"
盛行风,内容,有大气污染的工厂应该设置在居民区常年盛行风向的下风地带。
农业变迁,内容,"在我国亚热带沿海地区农业变迁(水稻种植业—蔗基鱼塘—花卉)过程中市场需求。,起决定作用的因素是"
城市功能分区,内容,"市里的集中,就形成了不同的功能区。"
城市功能区,内容,"市里的集中,就形成了不同的功能区。"
地域分异规律,内容,因纬度的不同产生的地域分异规律的基础是土壤。
卫生防护带,内容,工业区与生活区之间应设立“卫生防护带”。
极夜现象,内容,极夜现象从北极扩大到北极圈的时期是秋分至冬至
城市化,内容,"城市化过程对自然地理环境的影响：产生城市热岛效应；破坏河网系统；“三废”污染河流、土壤、地下水,影响自然生态环境 ；导致生物多样性减少。"
太阳直射点,内容,"10月1 日这一天,太阳直射点在南半球,并向南移动。"
黄赤交角,内容,"若黄赤交角为零,则地球上没有四季变化。"
黄赤交角,内容,"若黄赤交角增大到 25°,淮北(34°N)可能发生的变化是正午太阳高度的年变化增大。"
黄土高原,内容,黄土高原千沟万壑地表形态的原因是流水侵蚀作用。
岩石,内容,岩石按其成因分为三大类：岩浆岩、沉积岩、变质岩。
地球自转,内容,"地球自转的方向南北半球都是自西向东而且从北极上空看,地球逆时针自西向东自转。"
太阳直射点,内容,"元旦这一天,太阳直射点在南半球并向北移。"
昼夜更替,内容,"在西行的轮船上,人们看到的昼夜更替的周期长于24小时。"
潘帕斯草原牧场,内容,潘帕斯草原牧牛业由粗放的自给自足的放牧业被密集的商品牧牛业取代大致是在欧洲人到来之后。
淡水,内容,"通常所说的水资源,是指目前人类可以大量利用的：河水、淡水湖泊水、浅层地下水。"
水资源,内容,"通常所说的水资源,是指目前人类可以大量利用的：河水、淡水湖泊水、浅层地下水。"
太阳高度角,内容,由于北方正午太阳高度角较小，我国北方住宅区的楼房间距理论上应该比南方大。
环境人口容量,内容,我国东部地区环境人口容量较西部地区大，原因有：东部地区科技水平较高；东部地区耕地资源、水资源更丰富；东部地区经济发展水平较高。
人口移动,内容,影响人口移动的因素中属于拉力因素的有：适宜的气候和廉价的土地。
庐山,内容,由于主要受山地影响，我国江西庐山是夏季避暑胜地。
降水有明显季节变化的两种陆地自然带,内容,热带草原带；亚热带常绿硬叶林带。
受洋流影响较大的两种气候,内容,西欧温带海洋性气候；秘鲁太平洋沿岸沙漠气候
生物大灭绝的两大时期,内容,古生代末期；中生代末期。
世界上第一批城市,内容,世界上第一批城市诞生于印度河谷地、美索不达米亚平原。
全球变暖,内容,全球变暖引起的后果由：温带地区粮食产量下降；北温带耕作区方向向高纬方向延伸。
角峰,内容,角峰是指由几个冰斗所围成的山峰，因冰斗后壁不断后退，使所围山峰成为高耸尖锐的山峰。
我国的古村落遗址,内容,我国的古村落遗址大多坐落在河谷阶地上，这表明我国先民在选择居住地的时候已充分考虑到了水源及地形的影响。
寒温带,内容,≥10℃积温：＜1600℃
中温带,内容,≥10℃积温:1600～3400℃
暧温带,内容,≥10℃积温：3400～4500℃
亚热带,内容,≥10℃积温：4500～8000℃
热带,内容,≥10℃积温：＞8000℃
青藏高原区,内容,≥10℃积温：＜2000℃
南极地区,内容,科学考察最佳时间再每年11月到次年的3月
极地地区,内容,去极地地区科学考察的时间，一般选在极地地区的暖季。科学考察最佳时间，北极地区是每年的6~8月，南极地区是每年11月到次年的3月
北极地区,内容,科学考察最佳时间在每年的6~8月
气候变暖,内容,"冰川融化加速,海平面上升；我国东北水稻种植向北推进与全球气候变暖有关。"
长江流域水文灾害灾情严重,内容,暴雨、洪涝、风暴潮
板块构造学说,内容,"板块的生长边界和消亡边界,都是地壳比较活跃的地带。"
二氧化碳,内容,二氧化碳被称为“保温气体”，是因为二氧化碳能强烈吸收地面长波辐射。
冬至,内容,"昼短之至,日影长之至"
太阳辐射,内容,生物的生长、大气的运动、煤和石油的形成与太阳辐射有关。
商业网点,内容,商业网点的密度一般平原大于山区，城市大于农村。
循环经济,内容,消费者选用具有环保标志的产品；生产企业减少商品的过度包装；加强对产品生命周期的环境监管。
环境问题,内容,"从总体上讲,环境问题的实质就是发展问题。"
《气候变化框架公约》,内容,联合国环境与发展大会通过的《气候变化框架公约》主要符合共同性原则。
可持续发展,内容,人类的发展不应危及其他物种的生存；积极推广喷灌、滴灌等节水浇灌技术。
可持续发展,内容,"可持续发展中,经济持续发展是条件。"
人地关系,内容,人类对于人地关系的认识开始有了科学萌芽的时期是农业文明时期。
寒潮,内容,春季和秋季寒潮对农作物影响最大
水资源,内容,我国人口与淡水资源之间的矛盾尤为突出
淡水资源,内容,我国人口与淡水资源之间的矛盾尤为突出
土地资源,内容,基本国情：人多地少
世界贸易组织,内容,中国于2001年12月11日正式加入世界贸易组织
亚马孙雨林,内容,人类的不合理开发是导致亚马孙雨林被毁的直接原因。（1）人口增长和贫困导致发展需求。（2）为获得更多的粮食过度发展迁移农业。（3）采矿、修路、城镇建设；为不断增长的人口和移民提供土地和就业机会。（4）商业性伐木：木材出口换取外汇，以偿还债务。（5）开辟大型农牧场以转让土地、出口肉牛和热带经济作物获取经济收益。
新疆,内容,新疆的坎儿井引水工程适应了当地干旱的自然环境
世界,内容,当今世界的主题是和平与发展
地轴,内容,地轴与公转轨道面的夹角是66度34分
地球公转,内容,地轴与公转轨道面的夹角是66度34分
麦哲伦,内容,1519—1522年，葡萄牙航海家麦哲伦率领的船队首次实现了人类环绕地球一周的航行，证实了地球是一个球体
伊斯兰教,内容,中国回族和维吾尔族多信仰伊斯兰教
回教,内容,中国回族和维吾尔族多信仰伊斯兰教
清真教,内容,中国回族和维吾尔族多信仰伊斯兰教
地球仪,内容,"在地球仪上,人们用颜色来区分陆地和海洋。"
风灾,内容,"自救措施：在接到龙卷风警报时，要立即躲进地下室或坚固的混凝土建筑物中隐蔽起来。如果在室内，适当将窗户留出一些缝隙，以平衡建筑物内外压力。如果在野外开阔地，可就近寻找低洼地并伏于地面。
注意事项：不要启程远足或到海滩游泳，更不要驾船出海。在海上行驶的船只应尽快靠岸。外出的人应尽快回家，待在室内。台风袭击时，切勿靠近窗户，尤其不要靠近向风的窗户。"
交通运输方式,内容,交通运输不仅与我们的生活息息相关，而且对社会经济发展起着极其重要的作用。人们把交通运输形象地比喻为“经济发展的先行官”。
地球自转,内容,是地球基本的运动形式之一。
商品谷物农业,内容,种植的主要作物是玉米和小麦
中国,内容,我国用占世界不到10%的耕地养活了占世界20%的人口，这对世界是一大贡献。
我国,内容,我国用占世界不到10%的耕地养活了占世界20%的人口，这对世界是一大贡献。
中国,内容,我国用占世界不到10%的耕地养活了占世界20%的人口，这对世界是一大贡献。
中国,内容,我国坚定和平、发展、合作、共赢的信念，积极参与国际事务，充分体现我国作为负责任大国，正发挥着越来越重要的作用。
我国,内容,我国坚定和平、发展、合作、共赢的信念，积极参与国际事务，充分体现我国作为负责任大国，正发挥着越来越重要的作用。
中国,内容,我国坚定和平、发展、合作、共赢的信念，积极参与国际事务，充分体现我国作为负责任大国，正发挥着越来越重要的作用。
中国,内容,发展中的矛盾和问题：①人地关系不够和谐，人口、资源、环境的矛盾突出，措施：协调人地关系，建设生态文明，走可持续发展的道路。②区域发展不平衡，东、中、西部发展极不平衡，沿海与内地以及城乡之间经济发展差距较大，措施：实施西部大开发、振兴东北地区等老工业基地、促进中部地区崛起、推动城乡发展一体化。③海洋权益面临严峻挑战，在海域划界和若干岛屿归属上与有关国家存在争议，措施：遵循《联合国海洋法公约》和其他国际法，在尊重历史事实的基础上，公正合理解决争议。
我国,内容,发展中的矛盾和问题：①人地关系不够和谐，人口、资源、环境的矛盾突出，措施：协调人地关系，建设生态文明，走可持续发展的道路。②区域发展不平衡，东、中、西部发展极不平衡，沿海与内地以及城乡之间经济发展差距较大，措施：实施西部大开发、振兴东北地区等老工业基地、促进中部地区崛起、推动城乡发展一体化。③海洋权益面临严峻挑战，在海域划界和若干岛屿归属上与有关国家存在争议，措施：遵循《联合国海洋法公约》和其他国际法，在尊重历史事实的基础上，公正合理解决争议。
中国,内容,发展中的矛盾和问题：①人地关系不够和谐，人口、资源、环境的矛盾突出，措施：协调人地关系，建设生态文明，走可持续发展的道路。②区域发展不平衡，东、中、西部发展极不平衡，沿海与内地以及城乡之间经济发展差距较大，措施：实施西部大开发、振兴东北地区等老工业基地、促进中部地区崛起、推动城乡发展一体化。③海洋权益面临严峻挑战，在海域划界和若干岛屿归属上与有关国家存在争议，措施：遵循《联合国海洋法公约》和其他国际法，在尊重历史事实的基础上，公正合理解决争议。
暖流,作用,暖流起增温增湿作用，沿岸气候较为湿润
寒流,作用,寒流起降温减湿作用，沿岸气候较为寒冷干燥
人口的自然增长,作用,决定着全球人口变动
内力作用,作用,奠定了地表形态的基本格局，总的趋势是使地表变得高低不平
生态持续发展,作用,基础
经济持续发展,作用,条件
社会持续发展,作用,目的
京杭运河,作用,历史上沟通南北航运；现代，通航河段主要是山东济宁以南河段，苏浙境内航运发达，其年运输量仅次于长江。另外，京杭运河还是南水北调东线工程的主要输水通道。
长江中上游防护林,作用,涵养水源、保持水土
平原农田防护林,作用,保护农田
沿海防护林,作用,防御台风、海浪侵袭
全球定位系统,作用,为各类用户提供精密的三维坐标、速度和时间
全球变暖,作用,海平面上升，影响世界各地降水和干湿状况变化，改变各国经济结构
臭氧层破坏,作用,到达地面的紫外线增多，危害人体健康，破坏生态
自然灾害监测系统,作用,灾前预警、灾中跟踪、灾后评估及提出减灾决策方案等。
地理信息系统,作用,对地理空间数据进行输入、管理、分析和表达
GIS,作用,对地理空间数据进行输入、管理、分析和表达
巴拿马运河,作用,沟通太平洋和大西洋，是重要的国际航运水道，也是南北美洲的分界线
长江航道,作用,沟通了沿海和内陆的经济联系，促进了沿江外向型经济的发展
酸雨,作用,使河湖水酸化，危害水生生物
酸雨,作用,使土壤酸化，造成养分淋失，影响微生物活性，降低土壤肥力，导致农作物减产
酸雨,作用,腐蚀树叶，毁坏森林
酸雨,作用,腐蚀石材、钢材，造成建筑物、铁轨、桥梁和文物古迹损坏
地球仪,作用,可以方便我们知道地球的面貌，了解地球表面各种地理事物的特征及其分布
五带,作用,反映了年太阳辐射总量从低纬地区向高纬地区递减的规律
图例,作用,在地图上用来表示各种地理事物的符号和注记
森林资源,作用,经济价值：是重要的自然资源
森林资源,作用,生态价值：调节气候、稳定大气成分、涵养水源、保持水土、净化空气、美化环境、吸烟除尘、防风固沙、繁衍物种和维护生物多样性
热带雨林,作用,调节全球大气中的碳氧平衡
热带雨林,作用,促进全球水循环，调节全球水平衡
热带雨林,作用,是世界生物基因宝库
黄赤交角,作用,黄赤交角决定着太阳直射的范围，决定着回归线与极圈的度数（回归线的度数即黄赤交角的度数，极圈的度数与回归线的度数互余）
湿地,作用,资源价值：提供粮食、药材、工业原料、农副产品等，被誉为“资源宝库”
湿地,作用,提供水资原，保护生物多样性，被誉为“生命摇篮”
湿地,作用,调节气候、美化环境，被誉为““天然空调机””
湿地,作用,涵养水源、调蓄洪水，被誉为“天然水库”
湿地,作用,降解污染、净化水体，被誉为“地球之肾”
湿地,作用,为各种野生动物生长、硒息、繁殖提供条件，被誉为“鸟类乐园”
湿地,作用,维持生物多样性；调蓄洪水；提供丰富的农副产品：航运价值；旅游观光
行政区划,作用,我国疆域辽阔，为了方便管理、有利于经济发展和民族团结
陆地水,作用,供应了人类生产和生活所需的淡水。
陆地水体,作用,供应了人类生产和生活所需的淡水。
语言,作用,人类最重要的交际工具，我们日常生活中每天都使用语言进行交流和沟通
雨燕,作用,人类最重要的交际工具，我们日常生活中每天都使用语言进行交流和沟通
语言,作用,人类借助语言保存和传递人类文明的成果
雨燕,作用,人类借助语言保存和传递人类文明的成果
语言,作用,是民族的重要特征之一，也是人类划分不同民族的主要依据。世界上有许多民族的名称就是该民族所用语言的名称。如汉族使用的就是汉语
雨燕,作用,是民族的重要特征之一，也是人类划分不同民族的主要依据。世界上有许多民族的名称就是该民族所用语言的名称。如汉族使用的就是汉语
工业地域的联系,作用,工业的地域联系，促进了地域之间人员、物质和信息等的流动
交通运输,作用,是连接生产与消费、城市与乡村、各地区和各部门的重要纽带
经纬网,作用,“定位”。地球上除极点外，任何地点都有一定的经度和纬度。
经纬网,作用,“定向”。利用经纬网可确定两点之间的相对方向。
经纬网,作用,“估距”。利用经纬网可大体估算两点间的实际距离（水平距离）。
分层设色地形图,作用,"在分层设色地形图上,可以比较容易地判读出各种各样的地形，以及地势的起伏"
海拔,作用,在地图上一般用海拔表示地面的高度
相对高度,作用,在地图上用相对高度表示地面的起伏变化
科学技术,作用,①“杂交水稻”的培育，使我国在耕地面积减少的情况下粮食产量保持持续增长的态势。
科学技术,作用,②温室、大棚等通过调节温度、湿度等植物生长条件，突破了植物生长的季节和地域限制。
科学技术,作用,③农业生产的机械化程度大幅度提高，根本改变了人工劳作的状况，大大提高了劳动生产率。
科学技术,作用,④推广滴灌、喷灌技术，既能提高产量，又能节约水资源、保护环境。
高新技术产业,作用,1990年以后，美国在传统工业发展缓慢甚至衰退的情况下，高新技术产业却蓬勃发展，并有力地推动了美国经济的发展，成为美国经济发展新的增长点
公路运输,作用,适合短途运输，在没有铁路的地区承担着长途运输的重任。
大气逆辐射,作用,对地面起保温作用
水,作用,地球上生命产生必不可少的物质
大气,作用,地球上生命产生必不可少的物质
太阳辐射,作用,促进地球上水、大气、生物活动和变化的主要动力；人类生产、生活的主要能量来源
生物,作用,对土壤的形成起主导作用
全球变暖,作用,温带耕作区向高纬度方向延伸
黄赤交角,作用,其存在是地球上四季更替的根本原因
副热带高压带,作用,在其控制下气候炎热干燥。
太阳活动,作用,"地球磁场紊乱,使磁针不能正确指示方向；两极地区的夜空中出现极光；地面无线电短波通讯受干扰,甚至出现短暂中断"
太阳辐射对地球的影响,作用,1 直接为地球提供了光热资源2 太阳辐射是维持地表温度，初进地球上大气、水、生物活动的主要动力3 是我们日常生产生活能量的主要来源
太阳活动对地球的影响,作用,1 影响地球的气候2 影响地球的电离层，使无线电短波通讯衰减或中断3 影响地球的磁场，产生磁暴
太阳辐射能,作用,"是维持地表温度,促使大气运动、水循环的主要动力"
太阳耀斑,作用,太阳耀斑爆发时发射的电磁波会直接扰动地球电离层
交通线,作用,交通线的发展往往会带动聚落空间形态的变化
地域文化,作用,会对城市空间结构会产生一定的影响
工业集聚,作用,"可以降低生产成本,提高经济效益"
地球磁场,作用,"当太阳风暴到达地球时,地球上具有可降低太阳活动对其影响的保护层"
公路运输,作用,承担其它运输方式之间的周转和联系的运输方式
市场,作用,最终决定农业生产的类型和规模的区位因素
科技投入,作用,"现代农业生产中,提高农业产出的最重要手段是加大科技投入"
大气的散射作用,作用,大气的散射作用使得晴朗的天空呈现蔚蓝色
市场需求量,作用,最终决定农业生产类型和规模
亚洲高压,作用,当亚洲高压控制亚欧大陆东部时，北京盛行西北风。
地球自转,作用,地球自转导致了日月升落。
北大西洋暖流,作用,主要影响西欧温带海洋性气候的洋流是北大西洋暖流。
生物,作用,由于绿色植物的光合作用，生物对地理环境的形成和发展起重要作用。
全球变暖,作用,海平面的上升；各地区干湿状况的改变。
地壳垂直运动,作用,会导致地势的高低起伏和海陆变迁。
北大西洋暖流,作用,对西欧温带海洋性气候的形成有巨大作用的洋流
盛行风,作用,盛行风是形成洋流的主要动力。
太阳辐射,作用,生物的生长 ；大气的运动 ； 煤、石油的形成。
冰川融水,作用,是径流季节变化主要随气温变化而变化的河流的主要补给。
植物的光合作用,作用,"生物对地理环境的形成和发展起重要作用,最根本的原因是植物的光合作用。"
生物,作用,对土壤的形成起主导作用。
大气对太阳辐射的削弱作用,作用,"晴朗的天空呈蔚蓝色；夏季天空多云时,白天气温不太高；日落后的黄昏天空仍然明亮。"
流水侵蚀,作用,是形成青藏高原东侧的横断山脉“水拍云崖”奇丽景观的主要原因。
地壳运动,作用,"在内力作用中,地壳运动是塑造地表形态的主要方式。"
臭氧,作用,能大量吸收太阳紫外线
地壳物质循环,作用,地壳物质循环是大气圈、水圈、岩石圈、生物圈相互联系起来，并在它们之间进行能量交换的是。
生物,作用,生物在地理环境的形成和发展中起着重要的作用，最根本的原因是事物的光合作用。
土壤有机质,作用,土壤有机质直接影响土壤肥力的形成和发展。
生物,作用,在土壤的形成中起主导作用。
海水运动,作用,潮汐发电和波浪发电具有商业开发价值。
平流层,作用,“地球生命的保护伞”在地球大气层的平流层。
全球气候变暖,作用,"全球平均海平面升高,山地永久积雪的下界上升"
地面辐射,作用,地面辐射是低层大气的直接热源。
岩石圈,作用,土壤中的矿物质主要来源于岩石圈。
黄赤交角,作用,地球上太阳直射点的最南与最北界线的决定因素是黄赤交角的大小。
地转偏向力,作用,地转偏向力是形成三圈环流的因素之一。
熔化作用,作用,岩浆岩转化为岩浆的过程必须经过融化作用。
三峡工程,作用,"建设三峡工程,主要对水循环地表径流环节施加了重要影响。"
太阳辐射,作用,植物生长；风力；煤、石油等化石能源；水力发电。
工业化,作用,工业化促进了城市化
现代物流业,作用,"现代物流业对于经济协作和商贸活动的影响是降低运营成本,提高经济效益。"
副热带高压,作用,回归线附近少雨
太阳活动,作用,太阳活动增强可能导致地球两极地区出现极光现象、地面无线电短波通讯受到干扰。
太阳辐射,作用,形成了煤、石油等化石燃料
密西西比河,作用,密西西比河和五大湖为灌溉、航运等提供了良好的条件
苏伊士运河,作用,沟通红海和地中海，同时也是亚、非两洲的分界线，连接了印度洋和大西洋，使中东地区成为东西方交通要冲
伏尔加河,作用,水能丰富，是最主要的内河航道
南极地区,海陆分布,中间是陆地（南极洲），周围是海洋(按逆时针方向依次是太平洋、印度洋、大西洋）
世界,海陆分布,三分陆地，七分海洋：海洋面积约占71%，陆地面积约占29%
地球,海陆分布,根据计算，地球表面71%是海洋，陆地面积仅占29%。概括地讲，七分是海洋，三分是陆地
南半球,海陆分布,海洋大多分布在南半球
北半球,海陆分布,陆地主要集中在北半球
东半球,海陆分布,陆地主要分布在东半球
西半球,海陆分布,海洋主要分布在西半球
北极地区,海陆分布,中间是海洋（北冰洋），周围是陆地（按逆时针方向依次是北美洲、欧洲、亚洲）
一月等温线分布图,海陆分布,北半球海洋等温线向高纬凸出
俄罗斯,陆地面积,1710
巴西,陆地面积,851
澳大利亚,陆地面积,774
加拿大,陆地面积,997
欧洲,陆地面积,1000
美国,陆地面积,937
中国,陆地面积,960万平方千米，仅次于俄罗斯、加拿大，居世界第3位
我国,陆地面积,960万平方千米，仅次于俄罗斯、加拿大，居世界第3位
中国,陆地面积,960万平方千米，仅次于俄罗斯、加拿大，居世界第3位
